Date,Ticker,Open,High,Low,Close
12/14/2000,_SPXD,1352.64,1359.99,1340.48,1340.9301
12/15/2000,_SPXD,1335.91,1340.9301,1305.38,1312.15
12/18/2000,_SPXD,1317.1801,1332.3199,1312.15,1322.74
12/19/2000,_SPXD,1322.4399,1346.4399,1305.2,1305.6
12/20/2000,_SPXD,1295.47,1305.6,1261.16,1264.74
12/21/2000,_SPXD,1262.36,1285.3101,1254.0699,1274.86
12/22/2000,_SPXD,1281.0601,1305.97,1274.86,1305.97
12/26/2000,_SPXD,1306.0699,1315.9399,1301.64,1315.1899
12/27/2000,_SPXD,1312.54,1332.03,1310.96,1328.92
12/28/2000,_SPXD,1326.48,1335.9301,1325.78,1334.22
12/29/2000,_SPXD,1333.22,1340.1,1317.51,1320.28
01/02/2001,_SPXD,1320.28,1320.28,1276.05,1283.27
01/03/2001,_SPXD,1279.75,1347.76,1274.62,1347.5601
01/04/2001,_SPXD,1345.28,1350.24,1329.14,1333.34
01/05/2001,_SPXD,1334.45,1334.77,1294.95,1298.35
01/08/2001,_SPXD,1295.73,1298.35,1276.29,1295.86
01/09/2001,_SPXD,1299.08,1311.72,1295.14,1300.8
01/10/2001,_SPXD,1294.37,1313.76,1287.28,1313.27
01/11/2001,_SPXD,1309.95,1332.1899,1309.72,1326.8199
01/12/2001,_SPXD,1326.59,1333.21,1311.59,1318.3199
01/16/2001,_SPXD,1318.62,1327.8101,1313.33,1326.65
01/17/2001,_SPXD,1336.6,1346.92,1325.41,1329.47
01/18/2001,_SPXD,1330.86,1352.71,1327.41,1347.97
01/19/2001,_SPXD,1354.5699,1354.55,1336.74,1342.54
01/22/2001,_SPXD,1341.13,1353.62,1333.84,1342.9
01/23/2001,_SPXD,1343.2,1362.9,1339.63,1360.4
01/24/2001,_SPXD,1361.91,1369.75,1357.28,1364.3
01/25/2001,_SPXD,1362.48,1367.35,1354.63,1357.51
01/26/2001,_SPXD,1353.37,1357.51,1342.75,1354.95
01/29/2001,_SPXD,1350.9301,1365.54,1350.36,1364.17
01/30/2001,_SPXD,1358.99,1375.6801,1356.2,1373.73
01/31/2001,_SPXD,1374.21,1383.37,1364.66,1366.01
02/01/2001,_SPXD,1365.38,1373.5,1359.34,1373.47
02/02/2001,_SPXD,1373.53,1376.38,1348.72,1349.47
02/05/2001,_SPXD,1346.39,1354.5601,1344.48,1354.3101
02/06/2001,_SPXD,1353.95,1363.55,1350.04,1352.26
02/07/2001,_SPXD,1345.75,1352.26,1334.26,1340.89
02/08/2001,_SPXD,1341.98,1350.3199,1332.42,1332.53
02/09/2001,_SPXD,1329.48,1332.53,1309.98,1314.76
02/12/2001,_SPXD,1330.3101,1330.96,1313.64,1330.3101
02/13/2001,_SPXD,1331.9399,1336.62,1317.51,1318.8
02/14/2001,_SPXD,1319.72,1320.73,1304.72,1315.92
02/15/2001,_SPXD,1320.51,1331.29,1315.92,1326.61
02/16/2001,_SPXD,1314.6,1326.61,1293.1801,1301.53
02/20/2001,_SPXD,1302.13,1307.16,1278.4399,1278.9399
02/21/2001,_SPXD,1274.96,1282.97,1253.16,1255.27
02/22/2001,_SPXD,1256.02,1259.9399,1228.33,1252.8199
02/23/2001,_SPXD,1249.1801,1252.8199,1215.4399,1245.86
02/26/2001,_SPXD,1248.09,1267.6899,1241.71,1267.65
02/27/2001,_SPXD,1265.9,1272.76,1252.26,1257.9399
02/28/2001,_SPXD,1254.29,1263.47,1229.65,1239.9399
03/01/2001,_SPXD,1237.17,1241.36,1214.5,1241.23
03/02/2001,_SPXD,1232.61,1251.01,1219.74,1234.1801
03/05/2001,_SPXD,1236.6899,1242.55,1234.04,1241.41
03/06/2001,_SPXD,1246.9399,1267.42,1241.41,1253.8
03/07/2001,_SPXD,1257.49,1263.86,1253.8,1261.89
03/08/2001,_SPXD,1260.33,1266.5,1257.6,1264.74
03/09/2001,_SPXD,1259.16,1264.74,1228.42,1233.42
03/12/2001,_SPXD,1227.46,1233.42,1176.78,1180.16
03/13/2001,_SPXD,1182.91,1197.83,1171.5,1197.66
03/14/2001,_SPXD,1188.4301,1197.66,1155.35,1166.71
03/15/2001,_SPXD,1173.21,1182.04,1166.71,1173.5601
03/16/2001,_SPXD,1169.72,1173.5601,1148.64,1150.53
03/19/2001,_SPXD,1151.72,1173.5,1147.1801,1170.8101
03/20/2001,_SPXD,1172.4399,1180.5601,1142.1899,1142.62
03/21/2001,_SPXD,1143.03,1149.39,1118.74,1122.14
03/22/2001,_SPXD,1124.33,1124.27,1081.1899,1117.58
03/23/2001,_SPXD,1122,1141.83,1117.58,1139.83
03/26/2001,_SPXD,1142.9,1160.02,1139.83,1152.6899
03/27/2001,_SPXD,1153.03,1183.36,1150.96,1182.17
03/28/2001,_SPXD,1176.87,1182.17,1147.83,1153.29
03/29/2001,_SPXD,1151.6801,1161.6899,1136.26,1147.95
03/30/2001,_SPXD,1149.75,1162.8,1143.83,1160.33
04/02/2001,_SPXD,1160.09,1169.51,1137.51,1145.87
04/03/2001,_SPXD,1144.61,1145.87,1100.1899,1106.46
04/04/2001,_SPXD,1105.64,1117.5,1091.99,1103.25
04/05/2001,_SPXD,1111.05,1151.47,1103.25,1151.4399
04/06/2001,_SPXD,1148.63,1151.4399,1119.29,1128.4301
04/09/2001,_SPXD,1130.1,1146.13,1126.38,1137.59
04/10/2001,_SPXD,1140.02,1173.92,1137.59,1168.38
04/11/2001,_SPXD,1177.35,1182.24,1160.26,1165.89
04/12/2001,_SPXD,1163.86,1183.51,1157.73,1183.5
04/16/2001,_SPXD,1180.37,1184.64,1167.38,1179.6801
04/17/2001,_SPXD,1174.98,1192.25,1168.9,1191.8101
04/18/2001,_SPXD,1200.26,1248.42,1191.8101,1238.16
04/19/2001,_SPXD,1240.63,1253.71,1233.39,1253.7
04/20/2001,_SPXD,1253.45,1253.7,1234.41,1242.98
04/23/2001,_SPXD,1237.85,1242.98,1217.47,1224.36
04/24/2001,_SPXD,1223.67,1233.54,1208.89,1209.47
04/25/2001,_SPXD,1208.9399,1232.36,1207.38,1228.75
04/26/2001,_SPXD,1231.72,1248.3,1228.75,1234.52
04/27/2001,_SPXD,1238.47,1253.0699,1234.52,1253.05
04/30/2001,_SPXD,1257.13,1269.3,1243.99,1249.46
05/01/2001,_SPXD,1249.38,1266.47,1243.55,1266.4399
05/02/2001,_SPXD,1270.59,1272.9301,1257.7,1267.4301
05/03/2001,_SPXD,1263.52,1267.4301,1239.88,1248.58
05/04/2001,_SPXD,1243.77,1267.51,1232,1266.61
05/07/2001,_SPXD,1266.9301,1270,1259.1899,1263.51
05/08/2001,_SPXD,1266.76,1267.01,1253,1261.2
05/09/2001,_SPXD,1257.03,1261.65,1247.83,1255.54
05/10/2001,_SPXD,1259.38,1268.14,1254.5601,1255.1801
